#double-hashing.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Double Hashing,1,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,2,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,3,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,4,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,5,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,6,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,7,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,8,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,9,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,10,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,11,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,12,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,13,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,14,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,15,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,16,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,17,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,18,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,19,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,20,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,21,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,22,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,23,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,24,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,25,DOUBLE_HASHING,NONE,0.0,0,0,0.0
Double Hashing,26,DOUBLE_HASHING,NONE,0.0,0,0,0.0
