#insert-lineares-sondieren.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Insert,1,INSERT,LINEARES_SONDIEREN,14.880000000000003,100,50,14.175333333333333
Insert,2,INSERT,LINEARES_SONDIEREN,1.3,101,50,2.3576666666666677
Insert,3,INSERT,LINEARES_SONDIEREN,1.5800000000000003,102,50,2.1706666666666625
Insert,4,INSERT,LINEARES_SONDIEREN,15.159999999999998,100,50,14.175333333333333
Insert,5,INSERT,LINEARES_SONDIEREN,1.5,101,50,2.336666666666668
Insert,6,INSERT,LINEARES_SONDIEREN,1.5399999999999998,102,50,2.408333333333333
Insert,7,INSERT,LINEARES_SONDIEREN,13.039999999999997,100,50,14.175333333333333
Insert,8,INSERT,LINEARES_SONDIEREN,1.46,101,50,2.1169999999999933
Insert,9,INSERT,LINEARES_SONDIEREN,1.44,102,50,2.257333333333337
Insert,10,INSERT,LINEARES_SONDIEREN,11.6,100,50,14.175333333333333
Insert,11,INSERT,LINEARES_SONDIEREN,1.4599999999999997,101,50,2.606666666666668
Insert,12,INSERT,LINEARES_SONDIEREN,1.28,102,50,1.8533333333333328
Insert,13,INSERT,LINEARES_SONDIEREN,13.560000000000004,100,50,14.175333333333333
Insert,14,INSERT,LINEARES_SONDIEREN,1.5399999999999998,101,50,2.297666666666664
Insert,15,INSERT,LINEARES_SONDIEREN,1.3800000000000006,102,50,2.507666666666668
Insert,16,INSERT,LINEARES_SONDIEREN,13.24,100,50,14.175333333333333
Insert,17,INSERT,LINEARES_SONDIEREN,1.44,101,50,2.2483333333333415
Insert,18,INSERT,LINEARES_SONDIEREN,1.9,102,50,2.569333333333327
Insert,19,INSERT,LINEARES_SONDIEREN,15.2,100,50,14.175333333333333
Insert,20,INSERT,LINEARES_SONDIEREN,1.2400000000000002,101,50,1.9669999999999987
Insert,21,INSERT,LINEARES_SONDIEREN,1.46,102,50,2.433666666666663
Insert,22,INSERT,LINEARES_SONDIEREN,11.2,100,50,14.175333333333333
Insert,23,INSERT,LINEARES_SONDIEREN,1.44,101,50,2.396666666666668
Insert,24,INSERT,LINEARES_SONDIEREN,1.6600000000000004,102,50,2.174000000000005
Insert,25,INSERT,LINEARES_SONDIEREN,13.360000000000003,100,50,14.175333333333333
Insert,26,INSERT,LINEARES_SONDIEREN,1.2,101,50,2.0120000000000022
Insert,27,INSERT,LINEARES_SONDIEREN,1.54,102,50,2.3349999999999937
Insert,28,INSERT,LINEARES_SONDIEREN,13.22,100,50,13.451666666666672
