#insert-quadratisches-sondieren.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Insert,1,INSERT,QUADRATISCHES_SONDIEREN,4.8599999999999985,100,50,3.9403333333333332
Insert,2,INSERT,QUADRATISCHES_SONDIEREN,1.2399999999999998,101,50,2.006
Insert,3,INSERT,QUADRATISCHES_SONDIEREN,1.48,102,50,1.9903333333333333
Insert,4,INSERT,QUADRATISCHES_SONDIEREN,4.959999999999999,100,50,3.941666666666667
Insert,5,INSERT,QUADRATISCHES_SONDIEREN,1.44,101,50,2.01533333333333
Insert,6,INSERT,QUADRATISCHES_SONDIEREN,1.48,102,50,2.1013333333333337
Insert,7,INSERT,QUADRATISCHES_SONDIEREN,4.52,100,50,4.121333333333337
Insert,8,INSERT,QUADRATISCHES_SONDIEREN,1.3999999999999997,101,50,2.02233333333333
Insert,9,INSERT,QUADRATISCHES_SONDIEREN,1.3799999999999997,102,50,2.1243333333333285
Insert,10,INSERT,QUADRATISCHES_SONDIEREN,4.28,100,50,4.093333333333331
Insert,11,INSERT,QUADRATISCHES_SONDIEREN,1.4199999999999997,101,50,2.162999999999993
Insert,12,INSERT,QUADRATISCHES_SONDIEREN,1.28,102,50,1.9343333333333332
Insert,13,INSERT,QUADRATISCHES_SONDIEREN,4.579999999999999,100,50,4.084333333333328
Insert,14,INSERT,QUADRATISCHES_SONDIEREN,1.48,101,50,2.1483333333333268
Insert,15,INSERT,QUADRATISCHES_SONDIEREN,1.34,102,50,2.211333333333337
Insert,16,INSERT,QUADRATISCHES_SONDIEREN,4.46,100,50,4.013666666666664
Insert,17,INSERT,QUADRATISCHES_SONDIEREN,1.4799999999999998,101,50,2.075333333333336
Insert,18,INSERT,QUADRATISCHES_SONDIEREN,1.6999999999999997,102,50,2.2119999999999953
Insert,19,INSERT,QUADRATISCHES_SONDIEREN,4.900000000000001,100,50,3.991666666666672
Insert,20,INSERT,QUADRATISCHES_SONDIEREN,1.2600000000000002,101,50,1.9473333333333334
Insert,21,INSERT,QUADRATISCHES_SONDIEREN,1.52,102,50,2.202999999999995
Insert,22,INSERT,QUADRATISCHES_SONDIEREN,4.36,100,50,3.8563333333333327
Insert,23,INSERT,QUADRATISCHES_SONDIEREN,1.4600000000000002,101,50,2.202333333333328
