#insert-verbesserung-nach-brent.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Verbesserung nach Brent,1,VERBESSERUNG_NACH_BRENT,NONE,5.860000000000001,100,50,6.2840000000000025
Verbesserung nach Brent,2,VERBESSERUNG_NACH_BRENT,NONE,1.2800000000000002,101,50,2.0140000000000007
Verbesserung nach Brent,3,VERBESSERUNG_NACH_BRENT,NONE,1.4,102,50,2.0643333333333316
Verbesserung nach Brent,4,VERBESSERUNG_NACH_BRENT,NONE,5.799999999999999,100,50,6.761666666666661
Verbesserung nach Brent,5,VERBESSERUNG_NACH_BRENT,NONE,1.2,101,50,1.9686666666666672
Verbesserung nach Brent,6,VERBESSERUNG_NACH_BRENT,NONE,1.34,102,50,2.1823333333333377
Verbesserung nach Brent,7,VERBESSERUNG_NACH_BRENT,NONE,6.439999999999999,100,50,6.879333333333334
Verbesserung nach Brent,8,VERBESSERUNG_NACH_BRENT,NONE,1.34,101,50,2.0033333333333325
Verbesserung nach Brent,9,VERBESSERUNG_NACH_BRENT,NONE,1.3999999999999995,102,50,2.178333333333323
Verbesserung nach Brent,10,VERBESSERUNG_NACH_BRENT,NONE,5.760000000000002,100,50,6.189333333333336
Verbesserung nach Brent,11,VERBESSERUNG_NACH_BRENT,NONE,1.2400000000000002,101,50,2.119666666666661
Verbesserung nach Brent,12,VERBESSERUNG_NACH_BRENT,NONE,1.26,102,50,1.9493333333333334
Verbesserung nach Brent,13,VERBESSERUNG_NACH_BRENT,NONE,5.4,100,50,6.964333333333331
Verbesserung nach Brent,14,VERBESSERUNG_NACH_BRENT,NONE,1.4,101,50,2.0759999999999974
Verbesserung nach Brent,15,VERBESSERUNG_NACH_BRENT,NONE,1.3399999999999994,102,50,2.1149999999999936
Verbesserung nach Brent,16,VERBESSERUNG_NACH_BRENT,NONE,5.4,100,50,5.533333333333326
Verbesserung nach Brent,17,VERBESSERUNG_NACH_BRENT,NONE,1.4200000000000004,101,50,2.0013333333333354
Verbesserung nach Brent,18,VERBESSERUNG_NACH_BRENT,NONE,1.7799999999999998,102,50,2.274333333333333
Verbesserung nach Brent,19,VERBESSERUNG_NACH_BRENT,NONE,6.88,100,50,7.213666666666666
Verbesserung nach Brent,20,VERBESSERUNG_NACH_BRENT,NONE,1.1999999999999997,101,50,1.9820000000000013
Verbesserung nach Brent,21,VERBESSERUNG_NACH_BRENT,NONE,1.3799999999999997,102,50,2.254333333333337
Verbesserung nach Brent,22,VERBESSERUNG_NACH_BRENT,NONE,5.6,100,50,4.8879999999999875
Verbesserung nach Brent,23,VERBESSERUNG_NACH_BRENT,NONE,1.22,101,50,2.0456666666666723
Verbesserung nach Brent,24,VERBESSERUNG_NACH_BRENT,NONE,1.3799999999999997,102,50,2.208333333333331
Verbesserung nach Brent,25,VERBESSERUNG_NACH_BRENT,NONE,5.679999999999999,100,50,5.554666666666658
Verbesserung nach Brent,26,VERBESSERUNG_NACH_BRENT,NONE,1.16,101,50,2.001999999999993
Verbesserung nach Brent,27,VERBESSERUNG_NACH_BRENT,NONE,1.5,102,50,2.0679999999999983
Verbesserung nach Brent,28,VERBESSERUNG_NACH_BRENT,NONE,5.92,100,50,5.753333333333337
Verbesserung nach Brent,29,VERBESSERUNG_NACH_BRENT,NONE,1.1599999999999997,101,50,1.992
Verbesserung nach Brent,30,VERBESSERUNG_NACH_BRENT,NONE,1.52,102,50,1.9846666666666737
Verbesserung nach Brent,31,VERBESSERUNG_NACH_BRENT,NONE,7.12,100,50,5.670000000000012
Verbesserung nach Brent,32,VERBESSERUNG_NACH_BRENT,NONE,1.32,101,50,2.081666666666675
Verbesserung nach Brent,33,VERBESSERUNG_NACH_BRENT,NONE,1.4800000000000002,102,50,2.0629999999999993
Verbesserung nach Brent,34,VERBESSERUNG_NACH_BRENT,NONE,5.080000000000001,100,50,5.783666666666658
Verbesserung nach Brent,35,VERBESSERUNG_NACH_BRENT,NONE,1.38,101,50,2.020666666666667
Verbesserung nach Brent,36,VERBESSERUNG_NACH_BRENT,NONE,1.3400000000000003,102,50,2.008666666666671
Verbesserung nach Brent,37,VERBESSERUNG_NACH_BRENT,NONE,6.04,100,50,5.47799999999999
Verbesserung nach Brent,38,VERBESSERUNG_NACH_BRENT,NONE,1.1800000000000002,101,50,1.9519999999999988
Verbesserung nach Brent,39,VERBESSERUNG_NACH_BRENT,NONE,1.3,102,50,1.989
Verbesserung nach Brent,40,VERBESSERUNG_NACH_BRENT,NONE,6.98,100,50,5.8976666666666535
Verbesserung nach Brent,41,VERBESSERUNG_NACH_BRENT,NONE,1.5999999999999996,101,50,2.2986666666666635
Verbesserung nach Brent,42,VERBESSERUNG_NACH_BRENT,NONE,1.44,102,50,1.984666666666668
Verbesserung nach Brent,43,VERBESSERUNG_NACH_BRENT,NONE,5.699999999999999,100,50,5.249333333333331
