#insert-verkettung.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Verkettung,1,VERKETTUNG,NONE,2.74,100,50,0.5453333333333344
Verkettung,2,VERKETTUNG,NONE,1.1600000000000001,101,50,0.4963333333333343
Verkettung,3,VERKETTUNG,NONE,1.3599999999999997,102,50,0.485
Verkettung,4,VERKETTUNG,NONE,2.76,100,50,0.5513333333333329
Verkettung,5,VERKETTUNG,NONE,1.2000000000000002,101,50,0.4886666666666668
Verkettung,6,VERKETTUNG,NONE,1.38,102,50,0.4966666666666664
Verkettung,7,VERKETTUNG,NONE,2.62,100,50,0.5453333333333342
Verkettung,8,VERKETTUNG,NONE,1.2999999999999998,101,50,0.4920000000000012
Verkettung,9,VERKETTUNG,NONE,1.3399999999999996,102,50,0.4806666666666667
Verkettung,10,VERKETTUNG,NONE,2.4799999999999995,100,50,0.5126666666666682
Verkettung,11,VERKETTUNG,NONE,1.2400000000000002,101,50,0.49333333333333323
Verkettung,12,VERKETTUNG,NONE,1.28,102,50,0.4843333333333334
Verkettung,13,VERKETTUNG,NONE,2.44,100,50,0.5420000000000011
Verkettung,14,VERKETTUNG,NONE,1.2600000000000002,101,50,0.5016666666666649
Verkettung,15,VERKETTUNG,NONE,1.3199999999999994,102,50,0.5006666666666685
Verkettung,16,VERKETTUNG,NONE,2.26,100,50,0.5243333333333314
Verkettung,17,VERKETTUNG,NONE,1.2400000000000002,101,50,0.5133333333333331
Verkettung,18,VERKETTUNG,NONE,1.58,102,50,0.5086666666666667
Verkettung,19,VERKETTUNG,NONE,2.64,100,50,0.5266666666666678
Verkettung,20,VERKETTUNG,NONE,1.14,101,50,0.49099999999999977
Verkettung,21,VERKETTUNG,NONE,1.3399999999999996,102,50,0.4893333333333335
Verkettung,22,VERKETTUNG,NONE,2.68,100,50,0.5276666666666684
Verkettung,23,VERKETTUNG,NONE,1.2200000000000004,101,50,0.5149999999999991
Verkettung,24,VERKETTUNG,NONE,1.5,102,50,0.48
Verkettung,25,VERKETTUNG,NONE,2.4200000000000004,100,50,0.5666666666666665
Verkettung,26,VERKETTUNG,NONE,1.1200000000000003,101,50,0.497
Verkettung,27,VERKETTUNG,NONE,1.42,102,50,0.5083333333333342
Verkettung,28,VERKETTUNG,NONE,2.7199999999999993,100,50,0.557333333333334
Verkettung,29,VERKETTUNG,NONE,1.14,101,50,0.49999999999999994
Verkettung,30,VERKETTUNG,NONE,1.56,102,50,0.477
Verkettung,31,VERKETTUNG,NONE,2.78,100,50,0.5366666666666674
Verkettung,32,VERKETTUNG,NONE,1.2400000000000002,101,50,0.4906666666666658
Verkettung,33,VERKETTUNG,NONE,1.3199999999999994,102,50,0.49733333333333213
Verkettung,34,VERKETTUNG,NONE,2.72,100,50,0.560333333333334
Verkettung,35,VERKETTUNG,NONE,1.3999999999999997,101,50,0.4860000000000001
Verkettung,36,VERKETTUNG,NONE,1.32,102,50,0.4966666666666668
Verkettung,37,VERKETTUNG,NONE,2.44,100,50,0.5333333333333319
Verkettung,38,VERKETTUNG,NONE,1.18,101,50,0.5033333333333333
Verkettung,39,VERKETTUNG,NONE,1.2400000000000002,102,50,0.49766666666666765
Verkettung,40,VERKETTUNG,NONE,2.8,100,50,0.5069999999999988
Verkettung,41,VERKETTUNG,NONE,1.3599999999999997,101,50,0.479
Verkettung,42,VERKETTUNG,NONE,1.44,102,50,0.49966666666666726
Verkettung,43,VERKETTUNG,NONE,2.76,100,50,0.48666666666666675
Verkettung,44,VERKETTUNG,NONE,1.26,101,50,0.4953333333333338
Verkettung,45,VERKETTUNG,NONE,1.3399999999999996,102,50,0.504666666666669
Verkettung,46,VERKETTUNG,NONE,2.5400000000000005,100,50,0.5246666666666691
Verkettung,47,VERKETTUNG,NONE,1.18,101,50,0.49599999999999983
Verkettung,48,VERKETTUNG,NONE,1.42,102,50,0.5056666666666684
Verkettung,49,VERKETTUNG,NONE,2.9799999999999995,100,50,0.5663333333333341
Verkettung,50,VERKETTUNG,NONE,1.2999999999999998,101,50,0.5006666666666689
Verkettung,51,VERKETTUNG,NONE,1.34,102,50,0.4900000000000001
Verkettung,52,VERKETTUNG,NONE,2.5400000000000005,100,50,0.5373333333333328
Verkettung,53,VERKETTUNG,NONE,1.18,101,50,0.507999999999999
Verkettung,54,VERKETTUNG,NONE,1.2999999999999998,102,50,0.47233333333333327
Verkettung,55,VERKETTUNG,NONE,2.6,100,50,0.5379999999999997
Verkettung,56,VERKETTUNG,NONE,1.18,101,50,0.499333333333334
Verkettung,57,VERKETTUNG,NONE,1.2399999999999995,102,50,0.4910000000000001
Verkettung,58,VERKETTUNG,NONE,2.6399999999999992,100,50,0.5176666666666686
Verkettung,59,VERKETTUNG,NONE,1.3199999999999996,101,50,0.49666666666666925
Verkettung,60,VERKETTUNG,NONE,1.3599999999999997,102,50,0.5266666666666664
Verkettung,61,VERKETTUNG,NONE,2.92,100,50,0.5159999999999989
Verkettung,62,VERKETTUNG,NONE,1.0999999999999999,101,50,0.4873333333333332
Verkettung,63,VERKETTUNG,NONE,1.52,102,50,0.4876666666666667
Verkettung,64,VERKETTUNG,NONE,2.5399999999999996,100,50,0.5393333333333334
Verkettung,65,VERKETTUNG,NONE,1.2200000000000004,101,50,0.49133333333333334
Verkettung,66,VERKETTUNG,NONE,1.2999999999999998,102,50,0.4950000000000006
Verkettung,67,VERKETTUNG,NONE,2.7,100,50,0.5413333333333347
Verkettung,68,VERKETTUNG,NONE,1.26,101,50,0.4923333333333335
Verkettung,69,VERKETTUNG,NONE,1.4,102,50,0.4756666666666667
Verkettung,70,VERKETTUNG,NONE,2.94,100,50,0.5069999999999995
Verkettung,71,VERKETTUNG,NONE,1.32,101,50,0.5043333333333327
Verkettung,72,VERKETTUNG,NONE,1.6400000000000003,102,50,0.5166666666666684
Verkettung,73,VERKETTUNG,NONE,2.5400000000000005,100,50,0.5513333333333315
Verkettung,74,VERKETTUNG,NONE,1.26,101,50,0.5033333333333356
Verkettung,75,VERKETTUNG,NONE,1.44,102,50,0.49899999999999983
Verkettung,76,VERKETTUNG,NONE,2.6399999999999992,100,50,0.5433333333333332
Verkettung,77,VERKETTUNG,NONE,1.2399999999999995,101,50,0.4913333333333336
Verkettung,78,VERKETTUNG,NONE,1.3599999999999997,102,50,0.49433333333333346
Verkettung,79,VERKETTUNG,NONE,2.44,100,50,0.5323333333333332
Verkettung,80,VERKETTUNG,NONE,1.2999999999999998,101,50,0.4866666666666667
Verkettung,81,VERKETTUNG,NONE,1.3599999999999997,102,50,0.49233333333333235
Verkettung,82,VERKETTUNG,NONE,2.1999999999999997,100,50,0.5393333333333319
Verkettung,83,VERKETTUNG,NONE,1.2399999999999995,101,50,0.5106666666666673
Verkettung,84,VERKETTUNG,NONE,1.48,102,50,0.5070000000000018
Verkettung,85,VERKETTUNG,NONE,2.48,100,50,0.5389999999999986
Verkettung,86,VERKETTUNG,NONE,1.26,101,50,0.5030000000000017
Verkettung,87,VERKETTUNG,NONE,1.34,102,50,0.4916666666666666
Verkettung,88,VERKETTUNG,NONE,2.9599999999999995,100,50,0.5323333333333361
Verkettung,89,VERKETTUNG,NONE,1.1800000000000004,101,50,0.5019999999999997
Verkettung,90,VERKETTUNG,NONE,1.2999999999999998,102,50,0.5046666666666655
Verkettung,91,VERKETTUNG,NONE,3.5444444444444434,100,90,1.0023333333333364
Verkettung,92,VERKETTUNG,NONE,1.5222222222222226,101,90,0.9036666666666665
Verkettung,93,VERKETTUNG,NONE,1.7777777777777788,102,90,0.8773333333333336
Verkettung,94,VERKETTUNG,NONE,3.8666666666666685,100,90,0.9690000000000006
Verkettung,95,VERKETTUNG,NONE,1.3777777777777775,101,90,0.8889999999999999
Verkettung,96,VERKETTUNG,NONE,1.788888888888889,102,90,0.8949999999999997
Verkettung,97,VERKETTUNG,NONE,3.9444444444444438,100,90,0.989333333333334
Verkettung,98,VERKETTUNG,NONE,1.2999999999999996,101,90,0.8920000000000001
Verkettung,99,VERKETTUNG,NONE,1.7000000000000004,102,90,0.902333333333333
Verkettung,100,VERKETTUNG,NONE,4.022222222222223,100,90,0.9883333333333318
Verkettung,101,VERKETTUNG,NONE,1.5444444444444447,101,90,0.8856666666666667
Verkettung,102,VERKETTUNG,NONE,1.7777777777777775,102,90,0.8740000000000008
Verkettung,103,VERKETTUNG,NONE,3.5000000000000013,100,90,0.958333333333334
Verkettung,104,VERKETTUNG,NONE,1.366666666666667,101,90,0.9116666666666662
Verkettung,105,VERKETTUNG,NONE,1.8333333333333326,102,90,0.9443333333333339
Verkettung,106,VERKETTUNG,NONE,3.766666666666668,100,90,1.009
Verkettung,107,VERKETTUNG,NONE,1.4777777777777779,101,90,0.8926666666666669
Verkettung,108,VERKETTUNG,NONE,1.7,102,90,0.9109999999999996
Verkettung,109,VERKETTUNG,NONE,3.811111111111111,100,90,0.9446666666666663
Verkettung,110,VERKETTUNG,NONE,1.4777777777777772,101,90,0.9066666666666665
Verkettung,111,VERKETTUNG,NONE,1.6444444444444442,102,90,0.8913333333333333
Verkettung,112,VERKETTUNG,NONE,3.6111111111111103,100,90,0.9466666666666673
Verkettung,113,VERKETTUNG,NONE,1.366666666666667,101,90,0.911
Verkettung,114,VERKETTUNG,NONE,1.5888888888888888,102,90,0.8776666666666676
Verkettung,115,VERKETTUNG,NONE,3.8333333333333353,100,90,0.9683333333333339
Verkettung,116,VERKETTUNG,NONE,1.4000000000000001,101,90,0.879
Verkettung,117,VERKETTUNG,NONE,1.5666666666666664,102,90,0.9016666666666664
Verkettung,118,VERKETTUNG,NONE,3.922222222222222,100,90,0.9913333333333333
Verkettung,119,VERKETTUNG,NONE,1.2777777777777777,101,90,0.8863333333333333
Verkettung,120,VERKETTUNG,NONE,1.666666666666666,102,90,0.8666666666666664
Verkettung,121,VERKETTUNG,NONE,3.544444444444445,100,90,0.9613333333333326
Verkettung,122,VERKETTUNG,NONE,1.3777777777777782,101,90,0.915333333333333
Verkettung,123,VERKETTUNG,NONE,1.7777777777777777,102,90,0.8629999999999995
Verkettung,124,VERKETTUNG,NONE,3.7111111111111112,100,90,0.9473333333333334
Verkettung,125,VERKETTUNG,NONE,1.5333333333333339,101,90,0.8899999999999996
Verkettung,126,VERKETTUNG,NONE,1.6666666666666663,102,90,0.9013333333333333
Verkettung,127,VERKETTUNG,NONE,3.666666666666666,100,90,0.9640000000000004
Verkettung,128,VERKETTUNG,NONE,1.4222222222222223,101,90,0.9240000000000002
Verkettung,129,VERKETTUNG,NONE,1.7666666666666673,102,90,0.8766666666666669
Verkettung,130,VERKETTUNG,NONE,3.9444444444444438,100,90,0.9163333333333333
Verkettung,131,VERKETTUNG,NONE,1.3555555555555556,101,90,0.888666666666666
Verkettung,132,VERKETTUNG,NONE,1.8555555555555556,102,90,0.8773333333333332
Verkettung,133,VERKETTUNG,NONE,4.066666666666668,100,90,0.9800000000000006
Verkettung,134,VERKETTUNG,NONE,1.4444444444444444,101,90,0.8770000000000004
Verkettung,135,VERKETTUNG,NONE,1.7888888888888892,102,90,0.8663333333333327
Verkettung,136,VERKETTUNG,NONE,3.7111111111111112,100,90,0.9449999999999991
Verkettung,137,VERKETTUNG,NONE,1.5222222222222221,101,90,0.898
Verkettung,138,VERKETTUNG,NONE,1.6222222222222222,102,90,0.889
Verkettung,139,VERKETTUNG,NONE,3.8444444444444446,100,90,0.956333333333333
Verkettung,140,VERKETTUNG,NONE,1.4000000000000001,101,90,0.8873333333333336
Verkettung,141,VERKETTUNG,NONE,1.6888888888888896,102,90,0.8829999999999999
Verkettung,142,VERKETTUNG,NONE,3.6555555555555563,100,90,0.9286666666666661
Verkettung,143,VERKETTUNG,NONE,1.4333333333333333,101,90,0.8746666666666669
Verkettung,144,VERKETTUNG,NONE,1.8,102,90,0.9076666666666668
Verkettung,145,VERKETTUNG,NONE,3.7444444444444445,100,90,0.9343333333333333
Verkettung,146,VERKETTUNG,NONE,1.4333333333333333,101,90,0.9046666666666666
Verkettung,147,VERKETTUNG,NONE,1.6444444444444444,102,90,0.894333333333333
Verkettung,148,VERKETTUNG,NONE,3.8555555555555547,100,90,0.9136666666666664
Verkettung,149,VERKETTUNG,NONE,1.4666666666666661,101,90,0.8973333333333333
