#lineares-sondieren.csv
#Yannick
#Matousek
#12005960
group,number,instanceType,probeType,stepsAvg,m,numberOfKeys,stepsNegativeAvg
Lineares Sondieren,1,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,2,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,3,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,4,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,5,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,6,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,7,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,8,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,9,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,10,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,11,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,12,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,13,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,14,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,15,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,16,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,17,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,18,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,19,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,20,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,21,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,22,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,23,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,24,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,25,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,26,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,27,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,28,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,29,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,30,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,31,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,32,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,33,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,34,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,35,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,36,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,37,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,38,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,39,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,40,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,41,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,42,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,43,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,44,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,45,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,46,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,47,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,48,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,49,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,50,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,51,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,52,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,53,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,54,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,55,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,56,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,57,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,58,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,59,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,60,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,61,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,62,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,63,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,64,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,65,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
Lineares Sondieren,66,LINEARES_SONDIEREN,NONE,0.0,0,0,0.0
